"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"CHECK_PRICES";"DESCRIPTION";"DIGIKEY_PART_NUMBER";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"RS_COMPONENTS_1674235_PURCHASE_URL";"RS_COMPONENTS_7099038P_PURCHASE_URL";"RS_COMPONENTS_7099038_PURCHASE_URL";"RS_COMPONENTS_7867096P_PURCHASE_URL";"RS_COMPONENTS_7867096_PURCHASE_URL";"RS_COMPONENTS_9215119_PURCHASE_URL";"SNAPEDA_LINK";"SPICEMODEL";"SPICEPREFIX";
"R11";"470";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";
"R12";"100k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";
"R13";"10";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";
"R14";"NC";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";
"R15";"2.2k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";
"R16";"NC";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";
"R17";"2.2k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";
"R18";"NC";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";
"R20";"NC";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";
"R22";"10k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";
